SK_ID_BUREAU,MONTHS_BALANCE,STATUS
5715448,0,C
5715448,-1,C
5715448,-2,C
5715448,-3,C
5715448,-4,C
5715448,-5,C
5715448,-6,C
5715448,-7,C
5715448,-8,C
5715448,-9,0
5715448,-10,0
5715448,-11,X
5715448,-12,X
5715448,-13,X
5715448,-14,0
5715448,-15,0
5715448,-16,0
5715448,-17,0
5715448,-18,0
5715448,-19,0
5715448,-20,X
5715448,-21,X
5715448,-22,X
5715448,-23,X
5715448,-24,X
5715448,-25,X
5715448,-26,X
5715449,0,C
5715449,-1,C
5715449,-2,C
5715449,-3,C
5715449,-4,C
5715449,-5,C
5715449,-6,0
5715449,-7,0
5715449,-8,0
5715449,-9,0
5715449,-10,0
5715449,-11,X
5715451,-5,C
5715451,-6,C
5715451,-7,C
5715451,-8,C
5715451,-9,C
5715451,-10,0
5715451,-11,0
5715451,-12,0
5715451,-13,0
5715451,-14,0
5715451,-15,0
5715451,-16,X
5715451,-17,X
5715451,-18,X
5715451,-19,0
5715451,-20,0
5715451,-21,0
5715451,-22,0
5715451,-23,0
5715451,-24,0
5715451,-25,0
5715451,-26,0
5715451,-27,0
5715451,-28,0
5715451,-29,0
5715451,-30,X
5715452,0,C
5715452,-1,C
5715452,-2,C
5715452,-3,C
5715452,-4,C
5715452,-5,C
5715452,-6,C
5715452,-7,C
5715452,-8,C
5715452,-9,C
5715452,-10,C
5715452,-11,C
5715452,-12,C
5715452,-13,C
5715452,-14,C
5715452,-15,0
5715452,-16,0
5715452,-17,X
5715452,-18,X
5715452,-19,X
5715452,-20,0
5715452,-21,0
5715452,-22,0
5715452,-23,0
5715452,-24,0
5715452,-25,0
5715452,-26,X
5715452,-27,X
5715452,-28,X
5715452,-29,X
5715452,-30,X
5715452,-31,X
5715452,-32,X
5715453,0,C
5715453,-1,C
5715453,-2,C
5715453,-3,C
5715453,-4,C
5715453,-5,C
5715453,-6,C
5715453,-7,C
5715453,-8,C
5715453,-9,C
5715453,-10,C
5715453,-11,C
5715453,-12,C
5715453,-13,C
5715453,-14,C
5715453,-15,C
5715453,-16,C
5715453,-17,C
5715453,-18,C
5715453,-19,C
5715453,-20,0
5715453,-21,0
5715453,-22,X
5715453,-23,X
5715453,-24,X
5715453,-25,0
5715453,-26,0
5715453,-27,0
5715453,-28,0
5715453,-29,0
5715453,-30,0
5715453,-31,X
5715453,-32,X
5715453,-33,X
5715453,-34,X
5715453,-35,X
5715453,-36,X
5715453,-37,X
5715454,-15,C
5715454,-16,C
5715454,-17,C
5715454,-18,C
5715454,-19,C
5715454,-20,C
5715454,-21,C
5715454,-22,C
5715454,-23,C
5715454,-24,C
5715454,-25,C
5715454,-26,C
5715454,-27,C
5715454,-28,C
5715454,-29,C
5715454,-30,C
5715454,-31,C
5715454,-32,C
5715454,-33,C
5715454,-34,0
5715454,-35,0
5715454,-36,0
5715454,-37,0
5715454,-38,0
5715454,-39,0
5715454,-40,0
5715454,-41,0
5715454,-42,0
5715454,-43,0
5715454,-44,0
5715454,-45,0
5715454,-46,0
5715454,-47,0
5715454,-48,0
5715454,-49,0
5715454,-50,0
5715454,-51,0
5715454,-52,X
5715454,-53,0
5715455,-49,X
5715455,-50,X
5715455,-51,X
5715455,-52,X
5715455,-53,X
5715455,-54,X
5715455,-55,X
5715455,-56,X
5715455,-57,X
5715455,-58,X
5715455,-59,X
5715455,-60,X
5715455,-61,X
5715455,-62,X
5715455,-63,X
5715455,-64,X
5715455,-65,X
5715455,-66,X
5715455,-67,X
5715455,-68,X
5715455,-69,X
5715455,-70,X
5715455,-71,X
5715455,-72,X
5715455,-73,X
5715455,-74,X
5715455,-75,X
5715455,-76,X
5715455,-77,X
5715455,-78,X
5715455,-79,X
5715455,-80,X
5715455,-81,X
5715455,-82,X
5715455,-83,X
5715455,-84,X
5715455,-85,X
5715455,-86,X
5715456,-21,X
5715456,-22,X
5715456,-23,X
5715456,-24,X
5715456,-25,X
5715456,-26,X
5715456,-27,X
5715456,-28,X
5715456,-29,X
5715456,-30,X
5715456,-31,X
5715456,-32,X
5715456,-33,X
5715456,-34,X
5715456,-35,X
5715456,-36,X
5715456,-37,X
5715456,-38,X
5715456,-39,X
5715456,-40,X
5715456,-41,X
5715456,-42,X
5715456,-43,X
5715456,-44,X
5715456,-45,X
5715456,-46,X
5715456,-47,X
5715457,0,0
5715457,-1,X
5715457,-2,X
5715457,-3,X
5715457,-4,X
5715457,-5,X
5715457,-6,X
5715457,-7,X
5715458,0,C
5715458,-1,C
5715458,-2,C
5715458,-3,C
5715458,-4,C
5715458,-5,C
5715458,-6,C
5715458,-7,0
5715458,-8,0
5715458,-9,X
5715458,-10,X
5715458,-11,X
5715458,-12,0
5715458,-13,0
5715458,-14,0
5715458,-15,0
5715458,-16,0
5715458,-17,0
5715458,-18,X
5715458,-19,X
5715458,-20,X
5715458,-21,X
5715458,-22,X
5715458,-23,X
5715458,-24,X
5715459,0,C
5715459,-1,C
5715459,-2,C
5715459,-3,C
5715459,-4,C
5715459,-5,C
5715459,-6,C
5715459,-7,C
5715459,-8,C
5715459,-9,C
5715459,-10,C
5715459,-11,C
5715459,-12,C
5715459,-13,C
5715459,-14,C
5715459,-15,C
5715459,-16,0
5715459,-17,0
5715459,-18,0
5715459,-19,0
5715459,-20,X
5715460,0,X
5715460,-1,X
5715460,-2,X
5715460,-3,X
5715460,-4,X
5715460,-5,X
5715460,-6,X
5715460,-7,X
5715461,0,0
5715461,-1,0
5715461,-2,0
5715461,-3,0
5715478,0,C
5715478,-1,C
5715478,-2,C
5715478,-3,C
5715478,-4,C
5715478,-5,C
5715478,-6,C
5715478,-7,C
5715478,-8,0
5715479,0,C
5715479,-1,C
5715479,-2,C
5715479,-3,C
5715479,-4,C
5715479,-5,C
5715479,-6,C
5715479,-7,C
5715479,-8,C
5715479,-9,C
5715479,-10,C
5715479,-11,C
5715479,-12,C
5715479,-13,C
5715479,-14,C
5715479,-15,X
5715479,-16,X
5715479,-17,X
5715479,-18,X
5715479,-19,X
5715479,-20,X
5715480,0,C
5715480,-1,C
5715480,-2,0
5715480,-3,0
5715480,-4,0
5715480,-5,0
5715480,-6,0
5715480,-7,0
5715480,-8,0
5715480,-9,0
5715480,-10,0
5715480,-11,0
5715521,0,C
5715521,-1,C
5715521,-2,C
5715521,-3,C
5715521,-4,C
5715521,-5,C
5715521,-6,0
5715521,-7,0
5715521,-8,0
5715521,-9,0
5715521,-10,0
5715529,-58,C
5715529,-59,C
5715529,-60,C
5715529,-61,0
5715529,-62,X
5715530,0,C
5715530,-1,C
5715530,-2,C
5715530,-3,C
5715530,-4,C
5715530,-5,C
5715530,-6,C
5715530,-7,C
5715530,-8,C
5715530,-9,C
5715530,-10,C
5715530,-11,C
5715530,-12,C
5715530,-13,C
5715530,-14,C
5715530,-15,0
5715530,-16,0
5715530,-17,0
5715530,-18,0
5715530,-19,0
5715530,-20,0
5715530,-21,0
5715530,-22,0
5715531,-8,C
5715531,-9,C
5715531,-10,C
5715531,-11,0
5715531,-12,X
5715538,0,0
5715538,-1,0
5715538,-2,0
5715538,-3,0
5715538,-4,0
5715538,-5,0
5715538,-6,0
5715538,-7,0
5715538,-8,0
5715539,0,0
5715539,-1,0
5715539,-2,0
5715539,-3,0
5715539,-4,0
5715539,-5,0
5715539,-6,0
5715539,-7,0
5715540,0,0
5715540,-1,0
5715540,-2,0
5715540,-3,0
5715540,-4,0
5715565,0,X
5715565,-1,0
5715565,-2,0
5715565,-3,X
5715565,-4,0
5715565,-5,X
5715565,-6,0
5715565,-7,X
5715565,-8,0
5715565,-9,X
5715565,-10,0
5715565,-11,0
5715565,-12,0
5715565,-13,X
5715565,-14,0
5715565,-15,0
5715565,-16,0
5715565,-17,X
5715565,-18,0
5715565,-19,X
5715565,-20,0
5715565,-21,X
5715565,-22,X
5715565,-23,X
5715565,-24,0
