SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2562384,378907,-6,56.97,135000,0.0,877.5,0.0,877.5,1700.325,1800.0,1800.0,0.0,0.0,0.0,0.0,1,0.0,1.0,35.0,Active,0,0
2582071,363914,-1,63975.555,45000,2250.0,2250.0,0.0,0.0,2250.0,2250.0,2250.0,60175.08,64875.555,64875.555,1.0,1,0.0,0.0,69.0,Active,0,0
1740877,371185,-7,31815.225,450000,0.0,0.0,0.0,0.0,2250.0,2250.0,2250.0,26926.425,31460.085,31460.085,0.0,0,0.0,0.0,30.0,Active,0,0
1389973,337855,-4,236572.11,225000,2250.0,2250.0,0.0,0.0,11795.76,11925.0,11925.0,224949.285,233048.97,233048.97,1.0,1,0.0,0.0,10.0,Active,0,0
1891521,126868,-1,453919.455,450000,0.0,11547.0,0.0,11547.0,22924.89,27000.0,27000.0,443044.395,453919.455,453919.455,0.0,1,0.0,1.0,101.0,Active,0,0
2646502,380010,-7,82903.815,270000,0.0,0.0,0.0,0.0,4449.105,3825.0,3825.0,80519.04,82773.315,82773.315,0.0,0,0.0,0.0,2.0,Active,7,0
1079071,171320,-6,353451.645,585000,67500.0,67500.0,0.0,0.0,14684.175,15750.0,15750.0,345433.86,351881.145,351881.145,1.0,1,0.0,0.0,6.0,Active,0,0
2095912,118650,-7,47962.125,45000,45000.0,45000.0,0.0,0.0,0.0,264.69,0.0,44735.31,47962.125,47962.125,1.0,1,0.0,0.0,51.0,Active,0,0
2181852,367360,-4,291543.075,292500,90000.0,289339.425,0.0,199339.425,130.5,4093.515,4093.515,285376.41,286831.575,286831.575,3.0,8,0.0,5.0,3.0,Active,0,0
1235299,203885,-5,201261.195,225000,76500.0,111026.7,0.0,34526.7,6338.34,45000.0,45000.0,192793.275,197224.695,197224.695,3.0,9,0.0,6.0,38.0,Active,0,0
1108284,209660,-7,102076.56,180000,92250.0,92250.0,0.0,0.0,0.0,4500.0,4500.0,92237.355,94224.06,94224.06,5.0,5,0.0,0.0,0.0,Active,0,0
2740914,340339,-1,131669.145,225000,10800.0,10800.0,0.0,0.0,6000.48,6322.5,6322.5,121430.7,127891.935,127891.935,2.0,2,0.0,0.0,6.0,Active,0,0
1985699,302517,-4,1427.265,135000,4500.0,101304.72,0.0,96804.72,3023.955,85500.0,85500.0,0.0,0.0,0.0,1.0,30,0.0,29.0,27.0,Active,0,0
1441883,171537,-5,0.0,270000,0.0,0.0,0.0,0.0,12218.49,2607.795,1448.64,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,Active,0,0
1864742,303581,-1,0.0,45000,0.0,0.0,0.0,0.0,0.0,2.295,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59.0,Active,0,0
2037377,289902,-1,131294.34,135000,0.0,0.0,0.0,0.0,6774.66,6975.0,6975.0,128518.02,131294.34,131294.34,0.0,0,0.0,0.0,11.0,Active,0,0
1816636,255981,-6,72899.955,450000,67500.0,67500.0,0.0,0.0,2457.72,25200.0,25200.0,68954.805,71554.455,71554.455,1.0,1,0.0,0.0,42.0,Active,0,0
1039039,276642,-6,0.0,67500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,Completed,0,0
2016842,302450,-3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,Completed,0,0
1189095,231608,-4,452774.7,450000,9000.0,9000.0,0.0,0.0,22916.475,27000.0,27000.0,440329.05,451429.2,451429.2,1.0,1,0.0,0.0,22.0,Active,0,0
1104090,259807,-6,45413.73,45000,105750.0,105750.0,0.0,0.0,1471.005,86887.98,84637.98,43650.855,44068.23,44068.23,3.0,3,0.0,0.0,16.0,Active,0,0
1683604,217113,-1,68710.14,67500,0.0,4412.25,0.0,4412.25,3315.24,3375.0,3375.0,67341.87,68710.14,68710.14,0.0,4,0.0,4.0,6.0,Active,0,0
2392920,132481,-1,85792.095,135000,45000.0,63337.815,0.0,18337.815,2250.0,23181.57,18521.55,85086.945,85792.095,85792.095,1.0,9,0.0,8.0,5.0,Active,0,0
2021411,105755,-5,464452.47,450000,135000.0,279112.5,137700.0,6412.5,8921.97,9000.0,9000.0,448552.125,456379.47,456379.47,5.0,7,1.0,1.0,25.0,Active,0,0
1927949,323730,-3,152801.55,157500,0.0,0.0,0.0,0.0,7875.0,7875.0,7875.0,146857.995,152801.55,152801.55,0.0,0,0.0,0.0,70.0,Active,0,0
1885349,195164,-6,134249.445,157500,0.0,0.0,0.0,0.0,6906.555,7200.0,7200.0,130930.965,134249.445,134249.445,0.0,0,0.0,0.0,35.0,Active,0,0
2024137,184131,-3,67609.125,450000,42750.0,76131.0,0.0,33381.0,2250.0,13500.0,13500.0,65466.54,66263.625,66263.625,1.0,2,0.0,1.0,33.0,Active,0,0
2272688,387286,-6,76235.94,180000,31500.0,32985.0,0.0,1485.0,2250.0,18919.035,14175.855,75963.78,76235.94,76235.94,2.0,4,0.0,2.0,1.0,Active,0,0
2561523,213409,-2,137812.185,180000,0.0,3100.5,0.0,3100.5,7041.645,9000.0,9000.0,134933.175,137812.185,137812.185,0.0,1,0.0,1.0,5.0,Active,0,0
1288249,406607,-4,0.0,270000,0.0,0.0,0.0,0.0,0.0,2394.18,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,80.0,Active,0,0
1598223,427122,-6,44959.455,45000,450.0,1664.46,0.0,1214.46,2291.04,2475.0,2475.0,41942.295,43613.955,43613.955,1.0,3,0.0,2.0,30.0,Active,0,0
1503450,388056,-6,364886.415,360000,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,349996.185,361835.91,361835.91,0.0,0,0.0,0.0,42.0,Active,0,0
2332261,337802,-6,267745.185,270000,45000.0,45000.0,0.0,0.0,13500.0,13500.0,13500.0,257208.84,267745.185,267745.185,2.0,2,0.0,0.0,92.0,Active,0,0
2252971,193247,-4,23422.5,540000,0.0,0.0,0.0,0.0,2250.0,0.0,0.0,22120.335,23346.675,23346.675,0.0,0,0.0,0.0,6.0,Active,0,0
2536108,223794,-6,137786.67,135000,0.0,0.0,0.0,0.0,6934.5,7200.0,7200.0,131489.64,137786.67,137786.67,0.0,0,0.0,0.0,35.0,Active,0,0
1204677,234016,-7,137723.31,292500,0.0,0.0,0.0,0.0,7846.785,9000.0,1325.52,135489.735,137723.31,137723.31,0.0,0,0.0,0.0,35.0,Active,0,0
1487883,379250,-4,0.0,180000,0.0,0.0,0.0,0.0,1520.55,1804.32,1804.32,0.0,0.0,0.0,0.0,0,0.0,0.0,13.0,Active,0,0
2043751,441030,-4,436537.755,450000,4500.0,4500.0,0.0,0.0,23238.585,23400.0,23400.0,421431.93,435192.255,435192.255,1.0,1,0.0,0.0,26.0,Active,0,0
2257392,384410,-5,116897.895,292500,0.0,0.0,0.0,0.0,5527.755,1244.97,1244.97,111640.86,115367.76,115367.76,0.0,0,0.0,0.0,4.0,Active,0,0
1395300,330465,-5,108377.91,135000,0.0,0.0,0.0,0.0,5578.875,5850.0,5850.0,105727.095,108377.91,108377.91,0.0,0,0.0,0.0,42.0,Active,0,0
1974378,215299,-1,390808.305,450000,0.0,0.0,0.0,0.0,20074.68,20250.0,20250.0,381243.42,390808.305,390808.305,0.0,0,0.0,0.0,21.0,Active,0,0
2014169,147323,-4,45403.11,225000,0.0,0.0,0.0,0.0,5432.625,22500.0,18033.93,44321.4,45403.11,45403.11,0.0,0,0.0,0.0,5.0,Active,0,0
2765915,425246,-5,0.0,225000,67500.0,67500.0,0.0,0.0,0.0,69752.07,67772.25,0.0,0.0,0.0,1.0,1,0.0,0.0,3.0,Active,0,0
1009803,313797,-4,135326.115,225000,0.0,0.0,0.0,0.0,13500.0,13500.0,13500.0,114841.71,135326.115,135326.115,0.0,0,0.0,0.0,95.0,Active,0,0
2293769,352647,-4,110310.12,450000,0.0,0.0,0.0,0.0,6054.075,13500.0,13500.0,107581.5,110310.12,110310.12,0.0,0,0.0,0.0,85.0,Active,0,0
2657726,399970,-5,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1426111,116448,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,Completed,0,0
1517613,121258,-6,0.0,135000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1940476,104946,-1,0.0,45000,0.0,0.0,0.0,0.0,0.0,132.885,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.0,Active,0,0
2408643,104761,-4,0.0,225000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1294904,271657,-7,0.0,180000,0.0,0.0,0.0,0.0,0.0,193.5,193.5,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,Active,0,0
1090346,352319,-5,13432.5,135000,0.0,0.0,0.0,0.0,2250.0,3150.0,900.0,13195.98,13432.5,13432.5,0.0,0,0.0,0.0,8.0,Active,0,0
1322825,215709,-5,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1894367,113120,-1,0.0,0,0.0,2145.78,0.0,0.0,811.035,2664.45,2664.45,0.0,0.0,0.0,0.0,0,0.0,0.0,8.0,Completed,0,0
1264033,367562,-4,593915.355,558000,54000.0,54000.0,0.0,0.0,23231.475,0.0,0.0,556774.785,585591.66,585591.66,3.0,3,0.0,0.0,12.0,Active,0,0
1573869,166121,-1,152923.41,180000,4500.0,4500.0,0.0,0.0,7519.68,7650.0,22.68,149396.085,151352.91,151352.91,1.0,1,0.0,0.0,8.0,Active,0,0
1661600,343837,-4,0.0,0,0.0,0.0,0.0,0.0,0.0,30.735,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,21.0,Active,0,0
2652291,217747,-1,199062.9,202500,0.0,0.0,0.0,0.0,10295.64,11025.0,11025.0,194887.665,199062.9,199062.9,0.0,0,0.0,0.0,7.0,Active,0,0
1385772,224252,-4,0.0,45000,0.0,0.0,0.0,0.0,0.0,9.225,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active,0,0
1055022,128242,-5,156841.245,225000,18000.0,18000.0,0.0,0.0,6456.915,6750.0,6750.0,122581.44,149668.245,149668.245,5.0,5,0.0,0.0,8.0,Active,0,0
1217908,162464,-5,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1032912,343308,-5,11287.8,135000,0.0,14847.3,0.0,14847.3,0.0,1350.63,1350.63,11282.985,11282.985,11282.985,0.0,14,0.0,14.0,2.0,Active,0,0
2759756,249286,-1,145090.665,135000,0.0,3257.64,0.0,3257.64,7140.105,7256.52,7256.52,134925.975,142931.25,142931.25,0.0,4,0.0,4.0,5.0,Active,0,0
2726169,252742,-2,0.0,0,0.0,0.0,0.0,0.0,0.0,695.115,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,Active,0,0
1156144,118055,-7,454135.5,450000,13500.0,13500.0,0.0,0.0,22561.47,22950.0,22950.0,441779.715,452790.0,452790.0,1.0,1,0.0,0.0,39.0,Active,0,0
2294189,277880,-5,125690.67,247500,40500.0,40500.0,0.0,0.0,4988.16,15750.0,10575.0,123216.165,123960.195,123960.195,1.0,1,0.0,0.0,9.0,Active,0,0
2451557,166894,-1,0.0,270000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1444467,293607,-6,0.0,45000,0.0,0.0,0.0,0.0,0.0,39.915,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.0,Active,0,0
2439019,336961,-5,0.0,135000,0.0,0.0,0.0,0.0,0.0,2048.22,2048.22,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,Active,0,0
1079749,140209,-3,0.0,112500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.0,Completed,0,0
2812675,114707,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,1800.855,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,39.0,Active,0,0
1984677,340224,-7,0.0,450000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1259317,277061,-7,0.0,135000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,45.0,Completed,0,0
1471306,311117,-6,2762.775,135000,0.0,256.5,0.0,256.5,8044.47,163912.5,163912.5,0.0,0.0,0.0,0.0,2,0.0,2.0,6.0,Active,0,0
2643601,103029,-7,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2832576,214797,-7,81205.11,720000,13500.0,13500.0,0.0,0.0,3333.24,0.0,0.0,73945.35,79169.175,79169.175,1.0,1,0.0,0.0,8.0,Active,0,0
2329144,271670,-6,41497.2,270000,0.0,4050.0,0.0,4050.0,4166.055,45000.0,45000.0,37871.505,39985.785,39985.785,0.0,1,0.0,1.0,4.0,Active,0,0
1681467,294744,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,689.85,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,28.0,Active,0,0
1493815,152835,-7,0.0,0,0.0,0.0,0.0,0.0,0.0,479.745,479.745,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Active,0,0
1245301,183994,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,49.0,Completed,0,0
1312251,385344,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,258.255,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.0,Active,0,0
2315769,439525,-7,0.0,45000,0.0,0.0,0.0,0.0,0.0,47.34,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53.0,Active,0,0
2641736,341787,-7,0.0,90000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1262215,263564,-7,42875.145,180000,0.0,31303.485,0.0,31303.485,2250.0,6873.435,6873.435,41632.02,41942.97,41942.97,0.0,38,0.0,38.0,6.0,Active,0,0
2137059,353300,-4,0.0,0,0.0,0.0,0.0,0.0,0.0,164.565,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,Active,0,0
1000355,274118,-7,155068.695,135000,2250.0,2250.0,0.0,0.0,7680.825,8100.0,8100.0,134619.3,151808.445,151808.445,1.0,1,0.0,0.0,6.0,Active,0,0
1409826,216234,-4,215383.005,270000,0.0,0.0,0.0,0.0,13500.0,13500.0,13500.0,187009.29,215383.005,215383.005,0.0,0,0.0,0.0,79.0,Active,0,0
2701290,224220,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,507.51,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35.0,Active,0,0
1125977,226681,-5,0.0,45000,0.0,0.0,0.0,0.0,0.0,1297.71,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,18.0,Active,0,0
1517334,186806,-5,118792.89,135000,0.0,0.0,0.0,0.0,6168.87,9000.0,9000.0,114377.58,117912.195,117912.195,0.0,0,0.0,0.0,4.0,Active,0,0
1092345,436212,-4,0.0,180000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1081753,274239,-4,0.0,45000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,76.0,Completed,0,0
2683662,161019,-4,0.0,225000,0.0,0.0,0.0,0.0,10805.805,1794.015,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,42.0,Completed,0,0
1821360,302820,-3,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2583137,416815,-3,237235.68,315000,90000.0,90000.0,0.0,0.0,2250.0,0.0,0.0,224358.93,231853.68,231853.68,3.0,3,0.0,0.0,7.0,Active,0,0
1843380,375482,-5,0.0,0,0.0,0.0,0.0,0.0,0.0,578.205,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,30.0,Active,0,0
2638478,354226,-2,0.0,45000,0.0,0.0,0.0,0.0,0.0,3.015,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,65.0,Active,0,0
1960212,285273,-1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,20.0,Completed,0,0
2571669,283851,-5,116710.605,900000,0.0,0.0,0.0,0.0,5928.435,6750.0,6750.0,107218.44,115084.035,115084.035,0.0,0,0.0,0.0,7.0,Active,0,0
1128942,281671,-7,0.0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
1385756,318823,-2,118960.965,180000,0.0,0.0,0.0,0.0,6657.21,6750.0,209.025,117319.59,118960.965,118960.965,0.0,0,0.0,0.0,5.0,Active,0,0
1445955,443277,-1,0.0,45000,0.0,0.0,0.0,0.0,0.0,559.485,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,82.0,Active,0,0
